"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1009025014086",6,4,2,1,1,2,2,5,6,5,5,3,3,2,1,2,2,5,6,6
"1009025020243",6,6,6,5,2,1,1,1,3,4,6,6,6,3,2,2,1,1,2,4
"1009025042217",6,6,5,3,2,1,1,2,2,6,6,6,5,3,2,1,1,1,3,4
"1009025043704",2,3,4,6,6,4,1,1,1,1,3,3,6,6,6,5,3,2,1,2
"1009027011060",NA,6,6,5,6,5,4,2,3,3,1,1,2,1,1,3,3,4,4,5
"1009027017719",2,1,1,1,2,5,6,6,5,3,1,1,1,2,3,5,6,6,5,3
"1009027053525",2,3,3,2,3,2,2,3,3,6,3,3,3,3,3,3,3,3,4,6
"1009028002869",4,6,6,6,2,2,2,2,2,2,2,5,6,4,2,2,2,2,2,2
"1009029031499",2,2,2,2,5,6,6,5,2,2,2,2,2,2,2,4,4,3,2,2
"1009029047263",2,2,2,3,4,6,6,5,3,2,2,2,2,2,2,3,4,3,2,2
"1009029060917",1,2,1,2,4,5,5,4,3,2,2,1,2,3,6,6,6,6,3,2
"1009029066966",5,5,5,5,6,6,6,5,5,4,3,2,2,2,1,1,1,1,2,4
"1009030040206",2,1,2,1,2,3,5,6,5,3,3,2,1,2,4,4,6,6,6,4
"1009030054496",1,1,1,1,2,2,3,5,5,6,6,6,6,6,5,5,4,4,1,1
"1009030078769",2,2,3,5,6,6,6,6,4,3,1,1,1,1,2,4,5,3,4,2
"1009032041750",2,3,6,6,5,3,2,1,1,1,3,4,6,6,6,4,2,1,1,1
"1009032051667",4,2,3,1,2,2,4,5,6,6,3,2,1,2,2,2,3,4,6,6
"1009032063022",1,2,3,5,6,6,4,3,2,1,1,2,3,5,6,6,4,2,1,2
"1009032076524",3,5,6,5,4,4,2,1,1,2,3,6,6,6,5,3,2,1,1,2
"1009032078500",6,6,4,3,2,1,1,2,3,5,6,6,6,3,1,1,1,2,4,5
"1009033074068",1,2,4,6,6,6,4,2,1,1,1,2,5,6,6,6,4,2,1,1
"1009034091958",1,2,2,5,6,6,5,3,2,1,1,1,3,5,6,6,5,3,1,1
"1009047007126",6,6,3,3,2,2,2,3,3,4,6,6,2,2,2,2,3,3,2,2
"1009047070916",6,5,4,2,1,1,1,2,5,6,5,3,2,1,1,2,3,5,6,6
"1009050050413",6,5,5,3,2,1,1,1,1,1,2,4,5,3,3,6,6,6,6,6
"1009054008971",1,2,3,5,6,6,6,2,2,1,1,2,4,5,6,6,6,2,1,2
"1009054013239",3,5,6,6,5,3,2,1,1,2,2,5,6,6,5,2,1,1,1,2
"1009054033165",6,5,2,1,1,1,2,5,6,6,6,5,2,2,1,2,3,4,5,6
"1009057043837",4,6,6,6,5,4,1,1,1,2,4,5,5,6,5,3,1,1,2,3
"1009061034398",3,4,5,6,5,3,2,2,1,2,3,2,5,6,6,6,4,3,1,1
"1009063038246",2,1,2,3,4,5,4,2,2,2,2,2,2,4,6,6,5,3,2,2
"1009066056164",5,3,1,1,2,1,1,1,2,4,4,2,5,6,6,6,6,6,5,5
"1009068038556",2,1,1,2,1,2,2,3,3,4,4,4,5,5,4,3,5,5,6,6
"1009070010382",6,6,6,5,6,5,4,1,1,1,1,2,3,2,3,4,4,5,5,6
"1009071030576",3,5,6,6,5,3,2,1,1,1,2,4,6,6,5,3,2,1,1,2
"1009071031463",6,3,1,2,1,2,5,5,6,6,5,3,1,1,1,2,4,5,6,6
"1009074021304",2,2,2,3,6,5,3,2,2,2,2,2,3,3,6,6,3,2,2,2
"1009075038387",5,6,6,4,2,2,1,1,2,4,6,6,6,5,3,1,1,1,2,3
"1009076018983",6,6,5,2,1,1,2,2,4,5,6,6,4,3,2,1,2,1,3,5
"1009079021352",5,6,6,4,1,1,1,2,3,6,6,6,6,3,2,1,1,1,2,4
"1009079054789",4,3,1,1,1,1,1,2,3,3,4,4,4,5,6,6,6,6,6,6
"1009080018496",2,2,1,1,1,1,1,2,2,2,3,4,5,6,6,6,6,6,6,5
